incident_hour_of_the_day,number_of_vehicles_involved,number_of_witnesses,Policy_Age,Policy_Deductible,Incident_Type,Collision_Type,Incident_Severity,authorities_contacted,property_damage,police_report_filed,Insured_Gender,SIU_Referral_Flag,claim_time_diff,Previous_Claims_made,Driving Under Influence,Others,Traffic Violations
22,2,3,3,1000,Multiple vehicles,Side,Minor,Ambulance,No,None,Male,0,2.0,No,2.0,3.0,3.0
5,4,3,3,1000,Multiple vehicles,Front,Major,Other,Yes,None,Male,1,3.0,Yes,2.0,3.0,3.0
13,4,1,3,1000,Vehicle Theft,Front,Total Loss,Other,Yes,No,Male,1,3.0,Yes,2.0,3.0,3.0
5,4,0,3,1000,Multiple vehicles,Front,Total Loss,Police,Yes,Yes,Male,1,9.0,Yes,2.0,3.0,3.0
19,1,2,10,500,Single vehicles,Rear,Minor,Fire Brigade,No,No,Female,0,8.0,No,0.0,0.0,1.0
16,4,1,10,500,Multiple vehicles,Side,Major,Police,Yes,None,Female,1,1.0,Yes,0.0,0.0,1.0
13,1,2,10,500,Single vehicles,Rear,Minor,Police,No,None,Female,0,4.0,Yes,0.0,0.0,1.0
13,3,2,7,1000,Vehicle Theft,Front,Total Loss,Ambulance,Yes,No,Female,1,9.0,No,1.0,1.0,1.0
23,3,1,7,1000,Multiple vehicles,Side,Minor,Other,No,Yes,Female,0,10.0,Yes,1.0,1.0,1.0
13,4,0,7,1000,Parked Car,Front,Total Loss,Police,Yes,None,Female,1,4.0,Yes,1.0,1.0,1.0
17,1,0,9,500,Single vehicles,Unknown,Trivial,None,Yes,None,Female,0,4.0,No,0.0,0.0,0.0
0,1,0,9,1000,Vehicle Theft,Rear,Minor,None,No,No,Female,1,6.0,No,1.0,1.0,1.0
12,3,2,9,1000,Vehicle Theft,Side,Minor,Other,Yes,Yes,Female,0,1.0,Yes,1.0,1.0,1.0
4,1,0,9,1000,Single vehicles,Rear,Trivial,Police,Yes,No,Female,0,10.0,Yes,1.0,1.0,1.0
3,2,0,9,1000,Multiple vehicles,Front,Total Loss,Other,No,None,Female,1,4.0,Yes,1.0,1.0,1.0
20,1,2,9,1000,Single vehicles,Side,Trivial,Other,No,Yes,Female,0,10.0,Yes,1.0,1.0,1.0
