Policy_ID,claim_time_diff,incident_state,previous_claim_made,incident_hour_of_the_day,Claim_Amount,Incident_Type,Collision_Type,Incident_Severity,authorities_contacted,number_of_vehicles_involved,number_of_witnesses,property_damage,police_report_filed,injury_claim,property_claim,vehicle_claim,vehicle_age,car_model,bodyily_injuries,False_Flag,Driving Under Influence,Others,Traffic Violations,population,density,Age_of_Policyholder,Earned_Premium,Policy_Age,Insured_Gender,Policy_Deductible,Insured_Education,Insured_Relation,Insured_Occupation,Insured_Hobbies
26884,2,0.0066,0,22,2684,Multiple vehicles,Side,Minor,Ambulance,2,3,0,Unknown,310,375,2013,4,BMW X5,0,0,2,3,3,94,0.2,40,79776,3,Male,1000,Masters,Self,Others,No Info
26884,3,0.005,1,5,13313,Multiple vehicles,Front,Major,Other,4,3,1,Unknown,1557,1671,10101,10,Jeep Wrangler,0,1,2,3,3,52117,14096.5,40,79776,3,Male,1000,Masters,Self,Others,No Info
26884,3,0.0066,1,13,22256,Vehicle Theft,Front,Total Loss,Other,4,1,1,0,2851,2620,16811,9,Toyota Highlander,0,1,2,3,3,21763,160.4,40,79776,3,Male,1000,Masters,Self,Others,No Info
26884,9,0.0066,1,5,54288,Multiple vehicles,Front,Total Loss,Police,4,0,1,1,6761,7200,40348,10,Suburu Legacy,0,1,2,3,3,94,0.2,40,79776,3,Male,1000,Masters,Self,Others,No Info
26885,8,0.0081,0,19,2703,Single vehicles,Rear,Minor,Fire Brigade,1,2,0,0,361,281,2095,10,Dodge Neon,0,0,0,0,1,21897,40.6,59,13157,10,Female,500,College,Unknown,Logistics,yachting
26885,1,0.0078,1,16,10075,Multiple vehicles,Side,Major,Police,4,1,1,Unknown,1422,1071,7617,9,Nissan Maxima,0,1,0,0,1,447,6.4,59,13157,10,Female,500,College,Unknown,Logistics,yachting
26885,4,0.0081,1,13,116,Single vehicles,Rear,Minor,Police,1,2,0,Unknown,24,15,86,7,Toyota Highlander,0,0,0,0,1,21897,40.6,59,13157,10,Female,500,College,Unknown,Logistics,yachting
26886,9,0.0058,0,13,16029,Vehicle Theft,Front,Total Loss,Ambulance,3,2,1,0,2115,1721,12207,7,Saab 93,0,1,1,1,1,25134,117.0,30,35787,7,Female,1000,High School,Self,"Factory, heavy industry",hiking
26886,10,0.0058,1,23,295,Multiple vehicles,Side,Minor,Other,3,1,0,1,57,41,215,14,Honda Civic,1,0,1,1,1,25134,117.0,30,35787,7,Female,1000,High School,Self,"Factory, heavy industry",hiking
26886,4,0.008,1,13,21968,Parked Car,Front,Total Loss,Police,4,0,1,Unknown,2663,2698,16640,13,Nissan Ultima,1,1,1,1,1,9909,47.2,30,35787,7,Female,1000,High School,Self,"Factory, heavy industry",hiking
26887,4,0.0062,0,17,152,Single vehicles,Unknown,Trivial,Unknown,1,0,1,Unknown,26,17,118,1,Ford Escape,0,0,0,0,0,40209,1594.2,47,4980,9,Female,500,Masters,Self,Clerical,kayaking
